source
chicken (poultry host Gallus gallus including chicken, broiler, layer, hen, chick, chicken feces, chicken meat, retail chicken, poultry meat, and poultry products)
turkey (poultry host Meleagris gallopavo including turkey, turkey feces, turkey meat, retail turkey, and turkey products)
pig (domestic pig or swine host Sus scrofa domesticus including pig, piglet, hog, swine feces, pork, pork products, and retail pork; not wild boar, not guinea pig)
cattle (bovine host Bos taurus including cattle, cow, calf, heifer, bovine feces, beef, dairy, milk, and cattle products; not cat, sheep, goat, or ovine)
sheep (ovine host Ovis aries including sheep, lamb, mutton, ovine feces, sheep fetus, fetal tissue, abomasum, and sheep lung; not bovine or cattle)
goat (caprine host Capra hircus including goat, kid, caprine feces, goat meat, goat milk, and goat products; not bovine or cattle)
human (human host Homo sapiens including patient, clinical human sample, human stool, human feces, fecal sample, rectal swab, and other directly human-associated samples; not sewage or wastewater)
dog (companion animal host Canis lupus familiaris including dog, canine, puppy, dog feces, and dog stool; not cat)
cat (companion animal host Felis catus including cat, feline, kitten, cat feces, and cat stool; not dog)
wildbird (terrestrial or non-aquatic wild bird host including pigeon, dove, crow, raven, sparrow, finch, passerine, and other wild bird feces; not poultry and not aquatic or wetland-associated birds such as ducks, geese, swans, gulls, cranes, or shorebirds)
waterbird (aquatic or wetland-associated wild bird host including duck, goose, swan, gull, crane, shorebird, waterfowl, Anas, and other aquatic or wetland birds)
water (environmental water sample including river, stream, creek, lake, pond, wetland water, agricultural water, recreational water, stormwater, runoff, drainage water, sea, ocean, or marine water; not sewage, wastewater, sewer water, wastewater treatment plant samples, or sediment)
wastewater (sewage or wastewater sample including raw sewage, treated sewage, sewage drain, sewer, municipal wastewater, wastewater treatment plant influent, wastewater treatment plant effluent, and other sewage-associated water)
environment (non-water environmental sample including soil, sediment, surfaces, farm environment, farm surfaces, environmental swabs, manure, and other terrestrial environmental samples; not water, wastewater, sewage, stool, or feces)
laboratory (culture collection, laboratory strain, laboratory culture, reference strain, experimental sample, laboratory isolate, or other explicitly laboratory-derived sample)
other_animal (nonhuman animal host not listed above including guinea pig Cavia porcellus, rabbit, rodent, horse, deer, seal, non-human primate, macaque, reptile, wild boar, and other non-bird wildlife; not domestic pig, cattle, sheep, goat, dog, or cat)
